target_ref,target_sha,week_start,category,category_label,commit_count,edited_lines
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-20,fixes_hardening,Fixes & hardening,11,6127
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-20,tests_qa,Tests & QA,3,466
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-20,documentation_examples,Documentation & examples,24,9518
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-20,release_maintenance,Release & maintenance,20,2266
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-27,product_development,Product development,20,7681
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-27,fixes_hardening,Fixes & hardening,9,3783
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-27,tests_qa,Tests & QA,9,2370
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-27,documentation_examples,Documentation & examples,14,1832
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-27,release_maintenance,Release & maintenance,8,2408
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-04,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-04,fixes_hardening,Fixes & hardening,12,1983
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-04,tests_qa,Tests & QA,1,283
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-04,documentation_examples,Documentation & examples,7,324
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-04,release_maintenance,Release & maintenance,1,36
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-11,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-11,fixes_hardening,Fixes & hardening,5,2080
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-11,tests_qa,Tests & QA,1,4
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-11,documentation_examples,Documentation & examples,4,140
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-11,release_maintenance,Release & maintenance,1,42
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-18,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-18,fixes_hardening,Fixes & hardening,1,13
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-18,tests_qa,Tests & QA,4,2083
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-18,documentation_examples,Documentation & examples,2,1482
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-18,release_maintenance,Release & maintenance,3,36
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-25,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-25,fixes_hardening,Fixes & hardening,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-25,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-25,documentation_examples,Documentation & examples,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-05-25,release_maintenance,Release & maintenance,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-01,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-01,fixes_hardening,Fixes & hardening,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-01,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-01,documentation_examples,Documentation & examples,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-01,release_maintenance,Release & maintenance,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-08,product_development,Product development,1,508
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-08,fixes_hardening,Fixes & hardening,10,1869
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-08,tests_qa,Tests & QA,2,362
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-08,documentation_examples,Documentation & examples,1,32
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-08,release_maintenance,Release & maintenance,3,172
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-15,product_development,Product development,1,386
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-15,fixes_hardening,Fixes & hardening,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-15,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-15,documentation_examples,Documentation & examples,1,1293
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-15,release_maintenance,Release & maintenance,1,223
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-22,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-22,fixes_hardening,Fixes & hardening,7,1622
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-22,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-22,documentation_examples,Documentation & examples,10,6842
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-22,release_maintenance,Release & maintenance,2,128
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-29,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-29,fixes_hardening,Fixes & hardening,4,2865
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-29,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-29,documentation_examples,Documentation & examples,30,897
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-06-29,release_maintenance,Release & maintenance,7,11609
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-06,product_development,Product development,1,416
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-06,fixes_hardening,Fixes & hardening,10,1421
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-06,tests_qa,Tests & QA,2,49
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-06,documentation_examples,Documentation & examples,6,336
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-06,release_maintenance,Release & maintenance,3,82
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-13,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-13,fixes_hardening,Fixes & hardening,4,292
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-13,tests_qa,Tests & QA,1,2
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-13,documentation_examples,Documentation & examples,6,1098
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-13,release_maintenance,Release & maintenance,3,111
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-20,product_development,Product development,1,608
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-20,fixes_hardening,Fixes & hardening,4,1538
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-20,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-20,documentation_examples,Documentation & examples,2,65
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-20,release_maintenance,Release & maintenance,3,279
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-27,product_development,Product development,1,547
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-27,fixes_hardening,Fixes & hardening,6,965
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-27,tests_qa,Tests & QA,1,138
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-27,documentation_examples,Documentation & examples,7,4847
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-07-27,release_maintenance,Release & maintenance,3,1055
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-03,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-03,fixes_hardening,Fixes & hardening,28,12896
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-03,tests_qa,Tests & QA,6,352
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-03,documentation_examples,Documentation & examples,15,2321
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-03,release_maintenance,Release & maintenance,9,11980
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-10,product_development,Product development,2,1565
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-10,fixes_hardening,Fixes & hardening,24,2915
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-10,tests_qa,Tests & QA,2,12
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-10,documentation_examples,Documentation & examples,15,2896
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-10,release_maintenance,Release & maintenance,3,329
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-17,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-17,fixes_hardening,Fixes & hardening,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-17,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-17,documentation_examples,Documentation & examples,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-17,release_maintenance,Release & maintenance,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-24,product_development,Product development,12,12494
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-24,fixes_hardening,Fixes & hardening,92,27467
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-24,tests_qa,Tests & QA,26,6356
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-24,documentation_examples,Documentation & examples,63,14854
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-24,release_maintenance,Release & maintenance,5,2098
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-31,product_development,Product development,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-31,fixes_hardening,Fixes & hardening,3,1550
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-31,tests_qa,Tests & QA,3,106
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-31,documentation_examples,Documentation & examples,5,707
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-08-31,release_maintenance,Release & maintenance,2,59
