target_ref,target_sha,week_start,category,category_label,commit_count,edited_lines
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-25,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-25,documentation_examples,Documentation & examples,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-25,release_maintenance,Release & maintenance,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-01,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-01,fixes_hardening,Fixes & hardening,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-01,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-01,documentation_examples,Documentation & examples,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-01,release_maintenance,Release & maintenance,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-08,product_development,Product development,1,508
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-08,fixes_hardening,Fixes & hardening,10,1869
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-08,tests_qa,Tests & QA,2,362
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-08,documentation_examples,Documentation & examples,1,32
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-08,release_maintenance,Release & maintenance,3,172
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-15,product_development,Product development,1,386
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-15,fixes_hardening,Fixes & hardening,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-15,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-15,documentation_examples,Documentation & examples,1,1293
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-15,release_maintenance,Release & maintenance,1,223
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-22,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-22,fixes_hardening,Fixes & hardening,7,1622
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-22,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-22,documentation_examples,Documentation & examples,10,6842
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-22,release_maintenance,Release & maintenance,2,128
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-29,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-29,fixes_hardening,Fixes & hardening,4,2865
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-29,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-29,documentation_examples,Documentation & examples,30,897
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-06-29,release_maintenance,Release & maintenance,7,11609
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-06,product_development,Product development,1,416
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-06,fixes_hardening,Fixes & hardening,10,1421
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-06,tests_qa,Tests & QA,2,49
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-06,documentation_examples,Documentation & examples,6,336
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-06,release_maintenance,Release & maintenance,3,82
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-13,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-13,fixes_hardening,Fixes & hardening,4,292
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-13,tests_qa,Tests & QA,1,2
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-13,documentation_examples,Documentation & examples,6,1098
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-13,release_maintenance,Release & maintenance,3,111
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-20,product_development,Product development,1,608
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-20,fixes_hardening,Fixes & hardening,4,1538
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-20,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-20,documentation_examples,Documentation & examples,2,65
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-20,release_maintenance,Release & maintenance,3,279
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-27,product_development,Product development,1,547
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-27,fixes_hardening,Fixes & hardening,6,965
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-27,tests_qa,Tests & QA,1,138
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-27,documentation_examples,Documentation & examples,7,4847
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-07-27,release_maintenance,Release & maintenance,3,1055
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-08-03,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-08-03,fixes_hardening,Fixes & hardening,28,12896
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-08-03,tests_qa,Tests & QA,6,352
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-08-03,documentation_examples,Documentation & examples,15,2321
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-08-03,release_maintenance,Release & maintenance,9,11980
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-08-10,product_development,Product development,2,1565
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-08-10,fixes_hardening,Fixes & hardening,24,2915
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-08-10,tests_qa,Tests & QA,2,12
