qualified_name,name,class,lineno,async,decorators,file,A2該当,A2細分類,内容区分,備考,status
gwexpy.timeseries._signal.TimeSeriesSignalMixin.degree,degree,TimeSeriesSignalMixin,290,False,[],gwexpy/_signal.py,Yes,A2-b,数値,"external:np.angle,np.asarray,np.unwrap",
gwexpy.timeseries._signal.TimeSeriesSignalMixin.unwrap_phase,unwrap_phase,TimeSeriesSignalMixin,321,False,[],gwexpy/_signal.py,No,非A2,非数値,,
gwexpy.timeseries._signal.TimeSeriesSignalMixin.instantaneous_frequency,instantaneous_frequency,TimeSeriesSignalMixin,325,False,[],gwexpy/_signal.py,Yes,A2-c,数値,"external:np.convolve,np.gradient,np.ones",
gwexpy.timeseries._signal.TimeSeriesSignalMixin._build_phase_series,_build_phase_series,TimeSeriesSignalMixin,433,False,[],gwexpy/_signal.py,Yes,A2-c,数値,"external:np.arange,np.asarray",
gwexpy.timeseries._signal.TimeSeriesSignalMixin.mix_down,mix_down,TimeSeriesSignalMixin,516,False,[],gwexpy/_signal.py,Yes,A2-d,数値,external:np.exp,
gwexpy.timeseries._signal.TimeSeriesSignalMixin.heterodyne,heterodyne,TimeSeriesSignalMixin,567,False,[],gwexpy/_signal.py,Yes,A2-d,数値,"external:np.asarray,np.exp,np.zeros;kw",
gwexpy.timeseries._signal.TimeSeriesSignalMixin.baseband,baseband,TimeSeriesSignalMixin,674,False,[],gwexpy/_signal.py,Yes,A2-d,数値,kw,
gwexpy.timeseries._signal.TimeSeriesSignalMixin.lock_in,lock_in,TimeSeriesSignalMixin,896,False,[],gwexpy/_signal.py,Yes,A2-d,数値,external:np.angle;kw,
gwexpy.timeseries._signal.TimeSeriesSignalMixin.transfer_function,transfer_function,TimeSeriesSignalMixin,1126,False,[],gwexpy/_signal.py,Yes,A2-d,数値,"external:np.angle,np.any,np.asarray;kw",
gwexpy.timeseries._signal.TimeSeriesSignalMixin.xcorr,xcorr,TimeSeriesSignalMixin,1384,False,[],gwexpy/_signal.py,Yes,A2-c,数値,"external:np.abs,np.floor,np.nanmean;kw",
gwexpy.timeseries._spectral_fourier._get_next_fast_len,_get_next_fast_len,,24,False,[],gwexpy/_spectral_fourier.py,No,非A2,非数値,,
gwexpy.timeseries._spectral_fourier.TimeSeriesSpectralFourierMixin._prepare_data_for_transform,_prepare_data_for_transform,TimeSeriesSpectralFourierMixin,44,False,[],gwexpy/_spectral_fourier.py,Yes,A2-c,数値,"external:np.asarray,scipy.signal.detrend,scipy.signal.get_window",
gwexpy.timeseries._spectral_fourier.TimeSeriesSpectralFourierMixin.fft,fft,TimeSeriesSpectralFourierMixin,74,False,[],gwexpy/_spectral_fourier.py,Yes,A2-d,数値,kw,
